data,PETR4,VIVT3_bruto,VIVT3
2021-08-20,26.6,44.19,22.095
2021-08-23,27.02,43.86,21.93
2021-08-24,27.58,43.54,21.77
2021-08-25,27.73,43.38,21.69
2021-08-26,27.49,43.14,21.57
2021-08-27,28.49,43.21,21.605
2021-08-30,28.3,43.37,21.685
2021-08-31,27.19,43.73,21.865
2021-09-01,27.04,43.22,21.61
2021-09-02,26.6,42.43,21.215
2021-09-03,26.33,42.09,21.045
2021-09-06,26.46,42.43,21.215
2021-09-08,24.97,41.08,20.54
2021-09-09,25.5,42.23,21.115
2021-09-10,25.34,42.22,21.11
2021-09-13,26.23,42.45,21.225
2021-09-14,25.88,42.79,21.395
2021-09-15,26.33,41.42,20.71
2021-09-16,26.1,41.51,20.755
2021-09-17,24.93,42.11,21.055
2021-09-20,24.65,41.84,20.92
2021-09-21,25.21,42.23,21.115
2021-09-22,25.85,43.5,21.75
2021-09-23,26.84,43.85,21.925
2021-09-24,26.9,43.13,21.565
2021-09-27,27.14,43.14,21.57
2021-09-28,26.96,42.15,21.075
2021-09-29,27.39,42.41,21.205
2021-09-30,27.23,42.87,21.435
2021-10-01,28.0,42.85,21.425
2021-10-04,28.79,42.52,21.26
2021-10-05,29.42,43.15,21.575
2021-10-06,28.64,42.82,21.41
2021-10-07,28.6,43.2,21.6
2021-10-08,29.12,45.0,22.5
2021-10-11,29.32,45.29,22.645
2021-10-13,29.63,46.0,23.0
2021-10-14,29.68,45.8,22.9
2021-10-15,29.6,46.17,23.085
2021-10-18,29.45,46.45,23.225
2021-10-19,28.01,45.91,22.955
2021-10-20,28.41,46.0,23.0
2021-10-21,27.45,45.28,22.64
2021-10-22,27.18,44.56,22.28
2021-10-25,29.04,44.88,22.44
2021-10-26,28.76,44.79,22.395
2021-10-27,28.69,44.59,22.295
2021-10-28,28.96,45.0,22.5
2021-10-29,27.25,45.52,22.76
2021-11-01,28.0,46.56,23.28
2021-11-03,26.85,49.64,24.82
2021-11-04,26.0,49.68,24.84
2021-11-05,25.85,50.31,25.155
2021-11-08,26.12,50.8,25.4
2021-11-09,26.64,49.79,24.895
2021-11-10,26.43,49.36,24.68
2021-11-11,26.45,49.21,24.605
2021-11-12,26.99,49.28,24.64
2021-11-16,27.27,49.5,24.75
2021-11-17,26.58,49.26,24.63
2021-11-18,26.54,49.62,24.81
2021-11-19,26.1,53.0,26.5
2021-11-22,26.36,51.92,25.96
2021-11-23,27.8,51.0,25.5
2021-11-24,28.37,50.77,25.385
2021-11-25,29.62,51.3,25.65
2021-11-26,28.47,50.84,25.42
2021-11-29,29.47,50.32,25.16
2021-11-30,29.43,50.29,25.145
2021-12-01,29.6,49.98,24.99
2021-12-02,28.36,50.24,25.12
2021-12-03,28.76,50.85,25.425
2021-12-06,28.89,50.1,25.05
2021-12-07,29.36,49.96,24.98
2021-12-08,29.35,49.08,24.54
2021-12-09,29.29,48.12,24.06
2021-12-10,29.65,49.1,24.55
2021-12-13,29.47,49.0,24.5
2021-12-14,29.12,48.9,24.45
2021-12-15,29.3,48.69,24.345
2021-12-16,29.69,49.14,24.57
2021-12-17,28.99,49.25,24.625
2021-12-20,28.16,49.05,24.525
2021-12-21,28.2,49.25,24.625
2021-12-22,28.16,49.88,24.94
2021-12-23,28.33,49.87,24.935
2021-12-27,28.75,49.57,24.785
2021-12-28,28.78,47.98,23.99
2021-12-29,28.54,48.27,24.135
2021-12-30,28.45,48.19,24.095
2022-01-03,29.09,47.81,23.905
2022-01-04,29.2,47.81,23.905
2022-01-05,28.07,47.75,23.875
2022-01-06,28.05,46.98,23.49
2022-01-07,28.18,46.66,23.33
2022-01-10,28.01,46.8,23.4
2022-01-11,28.84,46.57,23.285
2022-01-12,29.72,46.69,23.345
2022-01-13,30.32,47.04,23.52
2022-01-14,31.45,46.88,23.44
2022-01-17,31.5,47.51,23.755
2022-01-18,31.64,47.61,23.805
2022-01-19,31.49,48.69,24.345
2022-01-20,31.72,48.4,24.2
2022-01-21,31.77,48.36,24.18
2022-01-24,31.95,48.08,24.04
2022-01-25,32.99,48.45,24.225
2022-01-26,33.87,47.78,23.89
2022-01-27,33.88,48.7,24.35
2022-01-28,32.54,48.87,24.435
2022-01-31,32.35,49.68,24.84
2022-02-01,33.0,49.61,24.805
2022-02-02,32.52,49.52,24.76
2022-02-03,32.07,50.14,25.07
2022-02-04,32.63,49.71,24.855
2022-02-07,32.15,49.1,24.55
2022-02-08,31.83,49.26,24.63
2022-02-09,31.95,50.6,25.3
2022-02-10,32.44,49.58,24.79
2022-02-11,33.76,49.84,24.92
2022-02-14,33.0,49.83,24.915
2022-02-15,32.48,49.0,24.5
2022-02-16,32.93,49.29,24.645
2022-02-17,32.8,49.75,24.875
2022-02-18,33.0,49.51,24.755
2022-02-21,33.85,49.57,24.785
2022-02-22,33.74,49.06,24.53
2022-02-23,34.22,49.14,24.57
2022-02-24,33.39,49.83,24.915
2022-02-25,34.0,50.17,25.085
2022-03-02,34.67,49.15,24.575
2022-03-03,34.24,48.79,24.395
2022-03-04,34.23,48.64,24.32
2022-03-07,31.8,48.64,24.32
2022-03-08,32.46,48.8,24.4
2022-03-09,32.56,49.65,24.825
2022-03-10,33.7,49.2,24.6
2022-03-11,32.49,49.77,24.885
2022-03-14,31.87,50.14,25.07
2022-03-15,31.1,50.87,25.435
2022-03-16,30.83,51.49,25.745
2022-03-17,30.01,52.25,26.125
2022-03-18,30.61,53.05,26.525
2022-03-21,31.76,53.37,26.685
2022-03-22,31.62,53.67,26.835
2022-03-23,32.05,53.32,26.66
2022-03-24,32.42,53.4,26.7
2022-03-25,32.3,53.36,26.68
2022-03-28,31.6,53.25,26.625
2022-03-29,32.3,53.0,26.5
2022-03-30,32.99,53.25,26.625
2022-03-31,33.45,53.69,26.845
2022-04-01,33.01,54.53,27.265
2022-04-04,32.7,53.94,26.97
2022-04-05,32.39,54.55,27.275
2022-04-06,32.36,55.35,27.675
2022-04-07,34.04,54.15,27.075
2022-04-08,34.21,53.67,26.835
2022-04-11,33.95,53.58,26.79
2022-04-12,33.85,53.04,26.52
2022-04-13,34.57,53.42,26.71
2022-04-14,31.27,53.73,26.865
2022-04-18,30.72,53.45,26.725
2022-04-19,31.65,52.9,26.45
2022-04-20,31.8,52.78,26.39
2022-04-22,30.56,52.73,26.365
2022-04-25,30.11,53.65,26.825
2022-04-26,30.06,53.65,26.825
2022-04-27,30.06,51.82,25.91
2022-04-28,30.26,52.39,26.195
2022-04-29,30.28,53.19,26.595
2022-05-02,29.98,52.13,26.065
2022-05-03,30.25,51.77,25.885
2022-05-04,32.07,52.5,26.25
2022-05-05,32.01,50.81,25.405
2022-05-06,33.06,50.62,25.31
2022-05-09,32.16,50.91,25.455
2022-05-10,32.44,50.8,25.4
2022-05-11,33.57,49.02,24.51
2022-05-12,33.83,49.94,24.97
2022-05-13,34.27,49.26,24.63
2022-05-16,34.61,49.46,24.73
2022-05-17,34.16,49.88,24.94
2022-05-18,33.6,49.57,24.785
2022-05-19,34.17,49.99,24.995
2022-05-20,34.83,50.06,25.03
2022-05-23,36.2,51.58,25.79
2022-05-24,31.6,51.92,25.96
2022-05-25,32.05,52.35,26.175
2022-05-26,32.13,51.98,25.99
2022-05-27,30.6,51.54,25.77
2022-05-30,29.99,51.53,25.765
2022-05-31,30.06,51.05,25.525
2022-06-01,30.02,50.47,25.235
2022-06-02,29.76,51.08,25.54
2022-06-03,30.28,50.37,25.185
2022-06-06,30.3,48.88,24.44
2022-06-07,30.66,48.01,24.005
2022-06-08,30.51,47.4,23.7
2022-06-09,30.07,46.87,23.435
2022-06-10,29.65,46.8,23.4
2022-06-13,29.27,46.24,23.12
2022-06-14,29.6,46.35,23.175
2022-06-15,29.08,46.67,23.335
2022-06-17,27.31,45.46,22.73
2022-06-20,27.62,45.63,22.815
2022-06-21,27.07,47.05,23.525
2022-06-22,26.99,46.96,23.48
2022-06-23,26.49,46.89,23.445
2022-06-24,26.29,46.55,23.275
2022-06-27,27.98,46.7,23.35
2022-06-28,28.33,46.48,23.24
2022-06-29,28.08,45.66,22.83
2022-06-30,27.93,47.06,23.53
2022-07-01,28.53,47.55,23.775
2022-07-04,29.14,46.51,23.255
2022-07-05,28.03,46.37,23.185
2022-07-06,27.67,47.17,23.585
2022-07-07,28.48,47.34,23.67
2022-07-08,28.8,47.49,23.745
2022-07-11,28.66,47.87,23.935
2022-07-12,28.23,47.64,23.82
2022-07-13,28.25,47.2,23.6
2022-07-14,27.49,47.27,23.635
2022-07-15,27.96,47.18,23.59
2022-07-18,28.6,46.91,23.455
2022-07-19,29.18,47.51,23.755
2022-07-20,29.17,46.89,23.445
2022-07-21,29.02,46.98,23.49
2022-07-22,29.33,46.83,23.415
2022-07-25,30.7,46.42,23.21
2022-07-26,31.01,46.39,23.195
2022-07-27,31.35,44.9,22.45
2022-07-28,32.29,44.88,22.44
2022-07-29,34.15,44.6,22.3
2022-08-01,33.68,44.61,22.305
2022-08-02,33.83,44.31,22.155
2022-08-03,33.88,44.6,22.3
2022-08-04,34.21,45.26,22.63
2022-08-05,34.87,45.45,22.725
2022-08-08,36.63,45.72,22.86
2022-08-09,37.23,46.3,23.15
2022-08-10,37.11,46.4,23.2
2022-08-11,36.25,46.1,23.05
2022-08-12,31.71,46.01,23.005
2022-08-15,31.72,45.09,22.545
2022-08-16,32.01,45.28,22.64
2022-08-17,32.76,45.32,22.66
2022-08-18,33.42,44.79,22.395
2022-08-19,31.73,44.37,22.185
2022-08-22,32.41,44.33,22.165
2022-08-23,33.44,44.11,22.055
2022-08-24,33.64,43.4,21.7
2022-08-25,33.28,42.85,21.425
2022-08-26,33.64,42.24,21.12
2022-08-29,34.48,42.29,21.145
2022-08-30,32.43,42.22,21.11
2022-08-31,33.23,41.14,20.57
2022-09-01,33.85,41.26,20.63
2022-09-02,33.42,41.54,20.77
2022-09-05,33.33,41.78,20.89
2022-09-06,32.1,42.1,21.05
2022-09-08,31.8,42.09,21.045
2022-09-09,31.79,42.79,21.395
2022-09-12,31.58,42.46,21.23
2022-09-13,30.65,41.41,20.705
2022-09-14,31.12,41.37,20.685
2022-09-15,31.06,41.28,20.64
2022-09-16,30.78,40.63,20.315
2022-09-19,31.27,40.99,20.495
2022-09-20,31.09,41.05,20.525
2022-09-21,31.17,41.11,20.555
2022-09-22,31.94,42.25,21.125
2022-09-23,29.94,41.95,20.975
2022-09-26,29.46,40.96,20.48
2022-09-27,29.67,40.46,20.23
2022-09-28,29.27,40.75,20.375
2022-09-29,29.31,40.37,20.185
2022-09-30,29.8,40.49,20.245
2022-10-03,32.18,42.0,21.0
2022-10-04,31.37,41.14,20.57
2022-10-05,32.55,40.09,20.045
2022-10-06,33.66,39.58,19.79
2022-10-07,33.63,40.02,20.01
2022-10-10,33.25,40.21,20.105
2022-10-11,33.0,40.01,20.005
2022-10-13,33.94,39.88,19.94
2022-10-14,33.42,39.39,19.695
2022-10-17,33.39,39.16,19.58
2022-10-18,34.21,39.38,19.69
