data,IBOV
2021-08-20,118053.0
2021-08-23,117472.0
2021-08-24,120211.0
2021-08-25,120818.0
2021-08-26,118724.0
2021-08-27,120678.0
2021-08-30,119740.0
2021-08-31,118781.0
2021-09-01,119396.0
2021-09-02,116677.0
2021-09-03,116933.0
2021-09-06,117869.0
2021-09-08,113413.0
2021-09-09,115361.0
2021-09-10,114286.0
2021-09-13,116404.0
2021-09-14,116181.0
2021-09-15,115063.0
2021-09-16,113794.0
2021-09-17,111439.0
2021-09-20,108844.0
2021-09-21,110250.0
2021-09-22,112282.0
2021-09-23,114064.0
2021-09-24,113283.0
2021-09-27,113583.0
2021-09-28,110124.0
2021-09-29,111107.0
2021-09-30,110979.0
2021-10-01,112900.0
2021-10-04,110393.0
2021-10-05,110458.0
2021-10-06,110560.0
2021-10-07,110585.0
2021-10-08,112833.0
2021-10-11,112180.0
2021-10-13,113456.0
2021-10-14,113185.0
2021-10-15,114648.0
2021-10-18,114428.0
2021-10-19,110673.0
2021-10-20,110786.0
2021-10-21,107735.0
2021-10-22,106296.0
2021-10-25,108715.0
2021-10-26,106420.0
2021-10-27,106363.0
2021-10-28,105705.0
2021-10-29,103501.0
2021-11-01,105551.0
2021-11-03,105617.0
2021-11-04,103412.0
2021-11-05,104824.0
2021-11-08,104781.0
2021-11-09,105535.0
2021-11-10,105968.0
2021-11-11,107725.0
2021-11-12,106312.0
2021-11-16,104508.0
2021-11-17,102945.0
2021-11-18,102524.0
2021-11-19,103035.0
2021-11-22,102122.0
2021-11-23,103663.0
2021-11-24,104514.0
2021-11-25,105811.0
2021-11-26,102224.0
2021-11-29,102814.0
2021-11-30,101915.0
2021-12-01,100775.0
2021-12-02,104466.0
2021-12-03,105070.0
2021-12-06,106859.0
2021-12-07,107558.0
2021-12-08,108096.0
2021-12-09,106291.0
2021-12-10,107758.0
2021-12-13,107383.0
2021-12-14,106760.0
2021-12-15,107370.0
2021-12-16,108212.0
2021-12-17,107201.0
2021-12-20,105020.0
2021-12-21,105500.0
2021-12-22,105244.0
2021-12-23,104891.0
2021-12-27,105531.0
2021-12-28,104864.0
2021-12-29,104107.0
2021-12-30,104822.0
2022-01-03,103922.0
2022-01-04,103514.0
2022-01-05,101006.0
2022-01-06,101561.0
2022-01-07,102719.0
2022-01-10,101945.0
2022-01-11,103779.0
2022-01-12,105686.0
2022-01-13,105530.0
2022-01-14,106928.0
2022-01-17,106692.0
2022-01-18,106522.0
2022-01-19,108013.0
2022-01-20,109102.0
2022-01-21,108942.0
2022-01-24,107752.0
2022-01-25,109845.0
2022-01-26,111573.0
2022-01-27,112315.0
2022-01-28,111478.0
2022-01-31,112388.0
2022-02-01,113147.0
2022-02-02,112161.0
2022-02-03,111696.0
2022-02-04,112245.0
2022-02-05,101005.64
2022-02-06,101561.05
2022-02-07,111996.0
2022-02-08,112234.0
2022-02-09,112461.0
2022-02-10,113359.0
2022-02-11,113572.0
2022-02-12,105685.66
2022-02-13,105529.5
2022-02-14,113807.0
2022-02-15,114660.0
2022-02-16,115181.0
2022-02-17,113528.0
2022-02-18,112768.0
2022-02-19,108013.47
2022-02-20,109101.99
2022-02-21,111725.0
2022-02-22,112892.0
2022-02-23,112008.0
2022-02-24,111592.0
2022-02-25,113142.0
2022-02-26,111289.18
2022-02-27,112611.65
2022-02-28,111910.1
2022-03-02,115174.0
2022-03-03,115166.0
2022-03-04,114474.0
2022-03-07,111593.0
2022-03-08,111203.0
2022-03-09,113900.0
2022-03-10,113663.0
2022-03-11,111713.0
2022-03-14,109928.0
2022-03-15,108959.0
2022-03-16,111112.0
2022-03-17,113076.0
2022-03-18,115311.0
2022-03-21,116155.0
2022-03-22,117272.0
2022-03-23,117457.0
2022-03-24,119053.0
2022-03-25,119081.0
2022-03-28,118738.0
2022-03-29,120014.0
2022-03-30,120260.0
2022-03-31,119999.0
2022-04-01,121570.0
2022-04-04,121280.0
2022-04-05,118885.0
2022-04-06,118228.0
2022-04-07,118862.0
2022-04-08,118322.0
2022-04-11,116953.0
2022-04-12,116147.0
2022-04-13,116782.0
2022-04-14,116182.0
2022-04-18,115687.0
2022-04-19,115057.0
2022-04-20,114344.0
2022-04-22,111078.0
2022-04-25,110685.0
2022-04-26,108213.0
2022-04-27,109349.0
2022-04-28,109919.0
2022-04-29,107876.0
2022-05-02,106639.0
2022-05-03,106528.0
2022-05-04,108344.0
2022-05-05,105304.0
2022-05-06,105135.0
2022-05-09,103250.0
2022-05-10,103110.0
2022-05-11,104397.0
2022-05-12,105688.0
2022-05-13,106924.0
2022-05-16,108233.0
2022-05-17,108789.0
2022-05-18,106247.0
2022-05-19,107005.0
2022-05-20,108488.0
2022-05-23,110346.0
2022-05-24,110581.0
2022-05-25,110580.0
2022-05-26,111890.0
2022-05-27,111942.0
2022-05-30,111032.0
2022-05-31,111351.0
2022-06-01,111360.0
2022-06-02,112393.0
2022-06-03,111102.0
