data,ticker,abertura,maximo,minimo,fechamento,negocios,qtd_titulos,volume_rs
2021-08-20,ABEV3,16.91,17.6,16.91,17.54,55580,34873200,606827395.0
2021-08-23,ABEV3,17.51,17.58,17.22,17.36,36807,17262100,299660637.0
2021-08-24,ABEV3,17.48,17.67,17.35,17.59,35221,18073900,316857077.0
2021-08-25,ABEV3,17.5,17.62,17.34,17.58,28815,13858600,242574142.0
2021-08-26,ABEV3,17.4,17.46,17.06,17.11,34528,22172500,381575786.0
2021-08-27,ABEV3,17.18,17.18,16.91,17.04,26080,16973500,289179435.0
2021-08-30,ABEV3,16.96,17.23,16.81,17.18,27102,16781900,286592577.0
2021-08-31,ABEV3,17.15,17.17,16.81,17.1,26853,28079100,477779157.0
2021-09-01,ABEV3,17.16,17.38,17.04,17.26,29361,17593400,302970434.0
2021-09-02,ABEV3,17.12,17.12,16.39,16.52,55311,36473800,606531390.0
2021-09-03,ABEV3,16.64,16.76,16.44,16.56,36749,40771400,675474786.0
2021-09-06,ABEV3,16.56,17.19,16.32,17.19,19718,10035900,169741028.0
2021-09-08,ABEV3,16.99,17.01,16.21,16.21,59917,39304600,646807441.0
2021-09-09,ABEV3,16.2,16.5,16.01,16.31,43838,26356800,428103958.0
2021-09-10,ABEV3,16.43,16.63,16.1,16.1,43779,23336500,382037083.0
2021-09-13,ABEV3,16.53,16.6,16.28,16.35,31312,14849500,244052288.0
2021-09-14,ABEV3,16.41,16.67,16.37,16.44,27454,12461100,205695261.0
2021-09-15,ABEV3,16.46,16.49,16.0,16.02,33218,20538700,331070733.0
2021-09-16,ABEV3,16.0,16.45,15.78,16.13,37042,26714500,430760279.0
2021-09-17,ABEV3,16.18,16.18,15.35,15.74,65127,53864700,843804115.0
2021-09-20,ABEV3,15.53,15.86,15.46,15.61,36927,22475300,350158797.0
2021-09-21,ABEV3,15.68,16.0,15.58,15.66,25391,12843400,203049976.0
2021-09-22,ABEV3,15.77,15.9,15.63,15.72,28324,13740400,216606543.0
2021-09-23,ABEV3,15.8,15.98,15.67,15.88,28991,21550900,341191769.0
2021-09-24,ABEV3,15.62,15.91,15.61,15.84,26561,16219600,256064715.0
2021-09-27,ABEV3,15.65,16.0,15.65,15.83,25913,14263100,225390116.0
2021-09-28,ABEV3,15.76,15.87,15.36,15.44,31161,17672700,274136612.0
2021-09-29,ABEV3,15.54,15.78,15.42,15.49,40733,37200600,578983132.0
2021-09-30,ABEV3,15.55,15.57,15.29,15.3,35343,39267900,606080064.0
2021-10-01,ABEV3,15.41,15.46,15.05,15.27,38455,24130000,367158026.0
2021-10-04,ABEV3,15.08,15.23,14.81,15.04,28372,29169100,438570258.0
2021-10-05,ABEV3,15.07,15.33,14.88,15.18,37700,22871800,345944792.0
2021-10-06,ABEV3,15.05,15.39,15.02,15.1,32520,36830600,557654789.0
