TICKER;DENOM_CIA;CD_CVM;DT_REFER;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ESCALA_MOEDA;MOEDA;ST_CONTA_FIXA
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.01;Receita de Venda de Bens e/ou Serviços;13936389.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.01;Receita de Venda de Bens e/ou Serviços;13847776.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-7533536.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-7562149.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.03;Resultado Bruto;6402853.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.03;Resultado Bruto;6285627.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.04;Despesas/Receitas Operacionais;-3973766.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.04;Despesas/Receitas Operacionais;-1705963.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.04.01;Despesas com Vendas;-49006.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.04.01;Despesas com Vendas;-58352.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.04.02;Despesas Gerais e Administrativas;-661678.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;ÚLTIMO;2025-12-31;3.04.02;Despesas Gerais e Administrativas;-637450.0000000000;MIL;REAL;S
RAIL3;RUMO S.A.;017450;2025-12-31;PENÚLTIMO;2024-12-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-3149244.0000000000;MIL;REAL;S
