DATAFLOW,REF_AREA,FREQ,METHODOLOGY,MEASURE,UNIT_MEASURE,EXPENDITURE,ADJUSTMENT,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,BASE_PER,DURABILITY,DECIMALS
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-08,2.916174,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-04,3.810845,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-01,2.386431,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-06,2.669213,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-02,2.414113,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-03,3.25642,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-09,3.012677,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-05,4.248674,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-08,3.396548,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-07,3.364825,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2026-06,3.531425,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-06,5.351285,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-07,5.225255,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-08,5.13041,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-09,5.172249,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-06,4.641069,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-12,4.264348,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-01,4.441314,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-12,2.677081,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-11,2.735085,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-02,3.812337,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-03,4.14264,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-04,4.39151,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-05,4.724719,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-08,4.223427,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2026-07,4.442865,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-10,4.680707,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),BRA,M,N,CPI,PA,_T,N,GY,2025-11,4.461782,A,,,,2
OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),USA,M,N,CPI,PA,_T,N,GY,2025-07,2.704902,A,,,,2
