data,RAIL3,WEGE3,VALE3,ABEV3,BBSE3,B3SA3,LREN3,HAPV3,BOVA11,IBOV
2021-08-20,18.12,35.98,97.55,17.54,19.86,14.2,39.2,15.53,113.65,118053.0
2021-08-23,18.43,35.75,96.2,17.36,19.5,13.65,38.05,15.2,113.05,117472.0
2021-08-24,18.73,35.66,99.71,17.59,19.96,13.9,38.9,15.28,115.63,120211.0
2021-08-25,18.87,36.38,99.5,17.58,20.19,13.99,39.32,15.28,116.14,120818.0
2021-08-26,18.73,36.77,98.23,17.11,19.62,13.66,37.91,14.96,114.07,118724.0
2021-08-27,19.01,36.9,100.69,17.04,19.73,13.94,38.21,14.85,116.18,120678.0
2021-08-30,18.85,36.68,100.05,17.18,19.29,13.7,37.98,14.81,115.08,119740.0
2021-08-31,18.72,35.56,98.68,17.1,19.06,14.07,38.06,14.72,114.08,118781.0
2021-09-01,19.35,36.29,98.85,17.26,19.34,14.43,37.5,14.92,114.8,119396.0
2021-09-02,19.01,35.74,98.54,16.52,18.69,14.07,36.53,14.71,112.15,116677.0
2021-09-03,18.99,36.25,98.61,16.56,19.18,14.05,37.12,14.89,112.09,116933.0
2021-09-06,18.94,36.38,97.06,17.19,19.27,14.32,37.12,15.16,113.48,117869.0
2021-09-08,18.23,36.49,95.04,16.21,18.4,13.12,35.18,14.57,109.08,113413.0
2021-09-09,18.56,38.84,94.7,16.31,18.82,13.63,35.81,14.86,111.51,115361.0
2021-09-10,18.12,38.66,94.81,16.1,19.06,13.81,36.17,14.66,109.88,114286.0
2021-09-13,18.45,38.9,94.76,16.35,19.57,14.2,37.17,15.18,112.12,116404.0
2021-09-14,18.42,39.38,94.09,16.44,19.62,14.13,37.38,15.23,111.7,116181.0
2021-09-15,18.21,39.84,91.74,16.02,19.22,14.05,36.79,15.38,110.68,115063.0
2021-09-16,17.67,39.9,87.93,16.13,19.4,14.12,37.25,15.28,109.44,113794.0
2021-09-17,17.53,39.19,86.15,15.74,19.33,14.18,36.55,15.25,107.14,111439.0
2021-09-20,17.31,38.89,83.31,15.61,18.91,13.68,35.71,14.88,104.77,108844.0
2021-09-21,17.65,39.75,84.12,15.66,19.22,13.55,36.55,15.18,105.77,110250.0
2021-09-22,17.72,40.57,87.11,15.72,19.38,14.25,36.61,14.59,107.99,112282.0
2021-09-23,17.88,41.17,78.91,15.88,19.51,13.91,37.2,14.89,109.6,114064.0
2021-09-24,17.7,41.34,77.69,15.84,19.96,13.88,36.98,14.74,109.03,113283.0
